trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.95, 'e': 0.04594218181524295}",25,15,17.1197267603987,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.95, 'e': 0.0436450727244808}",30,14,19.19057523873441,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.95, 'e': 0.04146281908825676}",30,21,18.961340951088726,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.95, 'e': 0.03938967813384392}",20,16,7.8460495671550206,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.95, 'e': 0.037420194227151725}",25,16,19.104912204187254,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.95, 'e': 0.035549184515794134}",20,14,11.247469668183268,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.95, 'e': 0.033771725290004426}",20,11,5.054938410335755,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.95, 'e': 0.0320831390255042}",25,12,17.492822287036578,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.95, 'e': 0.03047898207422899}",25,17,17.673160273539764,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.95, 'e': 0.02895503297051754}",25,20,8.770000976818741,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.95, 'e': 0.02750728132199166}",25,11,25.190766181531743,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.95, 'e': 0.026131917255892076}",25,0,34.75206424357388,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.95, 'e': 0.024825321393097472}",20,13,13.981759224499598,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.95, 'e': 0.0235840553234426}",25,10,2.143657668201312,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.95, 'e': 0.02240485255727047}",20,5,-57.08525401957091,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
73,False,"{'a': 0.95, 'e': 0.021284609929406943}",30,15,28.482182480936054,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.95, 'e': 0.020220379432936596}",20,11,17.08843072122446,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.95, 'e': 0.019209360461289765}",25,8,28.77921057212536,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.95, 'e': 0.018248892438225275}",20,8,22.555492887277552,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.95, 'e': 0.01733644781631401}",20,3,24.684811892236837,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.95, 'e': 0.01646962542549831}",25,7,-5.8698201758696795,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.95, 'e': 0.01564614415422339}",30,8,16.408632709684035,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
80,False,"{'a': 0.95, 'e': 0.014863836946512221}",20,4,22.597467210740515,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.95, 'e': 0.01412064509918661}",25,8,29.655075763004714,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.95, 'e': 0.013414612844227278}",20,13,14.907563937393848,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.95, 'e': 0.012743882202015912}",25,15,19.325495647297718,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.95, 'e': 0.012106688091915117}",30,8,40.590253227336696,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.95, 'e': 0.01150135368731936}",35,17,32.40152058670516,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.95, 'e': 0.010926286002953391}",30,13,30.054356032101616,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.95, 'e': 0.010379971702805722}",20,16,5.598767037744252,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.95, 'e': 0.009860973117665435}",25,3,38.949389074712336,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,13,25.451809528859627,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,9,22.394484097553484,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,20,8.438229528765792,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,24,17.539285359022223,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,15,17.37450424935202,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,11,17.204901190156047,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,15.874795581276492,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,31.262494760384627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,17,16.87241814369491,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,13,35.6544547651019,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,13,11.92736475279482,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,12,26.902357127563715,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,19,23.09909367433784,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,14,13.079125400231584,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,13,15.612315353252708,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
